"symbol","nimi","sektor","hind","tootlus","kogus","kasum_aktsia_kohta","dividend_aktsia_kohta"
"CBOE","Cboe","Financials",120.25,3.05965,1126351,4.92,0
"CBRE","CBRE","Real Estate",101.23,-0.8715231,928074,4.29,0
"CCI","Crown Castle","Real Estate",180.3,-0.7595716,1059527,2.527,5.46
"CCL","Carnival Corporation","Consumer Discretionary",19.96,-1.8682452,32958926,-8.46,0
"CDAY","Ceridian","Information Technology",77.21,2.9878588,1225746,-0.561,0
"CDNS","Cadence","Information Technology",147.51,0.7444313,1398629,2.48,0
"CDW","CDW","Information Technology",192.3,-0.34720328,675516,7.116,1.6
"CE","Celanese","Materials",156.51,-2.101708,796704,16.864,2.72
"CERN","Cerner","Health Care",91.46,-0.28347376,3645253,1.7,0.88
"CF","CF Industries","Materials",75.06,1.9836943,2745128,1.38,1.2
"CFG","Citizens Financial Group","Financials",54.05,2.0388863,4083168,5.16,1.56
"CHD","Church & Dwight","Consumer Staples",100.98,-1.9992212,2454282,3.32,1.01
"CHRW","C. H. Robinson","Industrials",88.73,-0.92674655,2028797,6.31,2.08
"CHTR","Charter Communications","Communication Services",608.92,-0.2506396,1237808,24.471,0
"CI","Cigna","Health Care",221.37,1.75124,1942376,24.027,3
"CINF","Cincinnati Financial","Financials",121.69,0.9959371,619795,15.53,2.49
"CL","Colgate-Palmolive","Consumer Staples",81.12,-1.9460903,4796923,2.55,1.79
"CLX","Clorox","Consumer Staples",141.41,-14.473203,8691706,1.973,4.59
"CMA","Comerica","Financials",97.03,2.1153464,1041524,8.35,2.72
"CMCSA","Comcast","Communication Services",49.33,-0.62449145,23203084,3.04,1
"CME","CME Group","Financials",246.17,2.1155643,1975401,6.78,3.55
"CMG","Chipotle Mexican Grill","Consumer Discretionary",1483.44,2.4871497,323409,24.907,0
"CMI","Cummins","Industrials",228.6,0.5940621,1137467,14.61,5.6
"CMS","CMS Energy","Utilities",64.68,0.046401825,1856081,4.66,0
"CNC","Centene","Health Care",80.57,-1.1774796,3226860,1.249,0
"CNP","CenterPoint Energy","Utilities",27.89,-0.9236243,4299133,1.573,0.63
"COF","Capital One","Financials",150.35,1.3891785,2094566,26.941,2
"COO","CooperCompanies","Health Care",388.66,-0.55522424,210551,59.16,0.06
"COP","ConocoPhillips","Energy",91.87,1.1004732,11833381,6.07,0
"COST","Costco","Consumer Staples",519.77,-0.38331065,2254332,11.63,3.07
"CPB","Campbell's","Consumer Staples",43.09,-3.3856466,3303498,3.121,1.48
"CPRT","Copart","Industrials",128.12,-0.23361085,899622,4.15,0
"CRL","Charles River","Health Care",335.65,-0.41536683,350911,7.721,0
"CRM","Salesforce","Information Technology",219.23,3.0361383,5767290,1.818,0
"CSCO","Cisco","Information Technology",55.15,-0.090578325,19675873,2.69,1.47
"CSX","CSX","Industrials",34.3,-0.89569885,13115991,1.677,0.373
"CTAS","Cintas","Industrials",381.81,-0.84917134,452110,10.702,3.4
"CTLT","Catalent","Health Care",102.65,-0.38816255,905355,3.224,0
"CTRA","Coterra","Energy",23.42,2.0479274,10133897,0.879,0.42
"CTSH","Cognizant","Information Technology",86.82,0.88310736,3105500,4.05,0
"CTVA","Corteva","Materials",50.25,3.544202,4846059,2.369,0.55
"CTXS","Citrix","Information Technology",102.36,0.107580066,2342937,2.435,0
"CVS","CVS Health","Health Care",108.49,-0.21155569,4651197,5.729,2
"CVX","Chevron","Energy",135.88,1.2518688,12333610,8.14,5.31
"CZR","Caesars Entertainment","Consumer Discretionary",78.83,3.2346792,2196779,-5.422,0
"D","Dominion Energy","Utilities",80.18,-1.024567,2175334,3.171,2.52
"DAL","Delta Air Lines","Industrials",39.85,0.30203608,9252479,0.44,0
"DD","DuPont","Materials",76.06,-2.1358771,2688333,10.821,1.2
"DE","Deere & Co.","Industrials",369.49,-0.377477,1076431,18.99,3.61
"DFS","Discover","Financials",117.23,1.1126453,1316584,17.83,1.88
"DG","Dollar General","Consumer Discretionary",202.36,-1.4656447,1985547,10.231,1.62
"DGX","Quest Diagnostics","Health Care",134.05,-1.6579814,1190727,15.55,2.48
"DHI","D. R. Horton","Consumer Discretionary",84.02,-4.717627,5464778,12.45,0.825
"DHR","Danaher","Health Care",287.63,-0.7864505,1381196,8.617,0.84
"DIS","The Walt Disney Company","Communication Services",142.02,1.4211279,7525733,1.094,0
"DISCA","Discovery (Series A)","Communication Services",28.9,-0.10370095,6552444,1.495,0
"DISCK","Discovery (Series C)","Communication Services",28.62,0.034953613,4378603,1.495,0
"DISH","Dish","Communication Services",30.65,-0.5838479,3512173,4.159,0
"DLR","Digital Realty","Real Estate",145.16,-1.2516981,1163608,2.371,4.6
"DLTR","Dollar Tree","Consumer Discretionary",133.49,1.251524,1686380,5.942,0
"DOV","Dover","Industrials",163.15,-0.25067478,1454231,7.74,1.99
"DOW","Dow","Materials",60.6,-0.99657017,4666042,8.38,2.8
"DPZ","Domino's","Consumer Discretionary",438.07,-1.2888982,329008,13.175,3.6
"DRE","Duke Realty","Real Estate",57.68,-1.9047601,1264032,2.246,1.07
"DRI","Darden","Consumer Discretionary",137.86,-0.5267305,886143,6.995,3.45
"DTE","DTE","Utilities",120,-0.04997298,932945,4.515,4.08
"DUK","Duke Energy","Utilities",104.25,-1.1192263,2170726,3.91,3.88
"DVA","DaVita","Health Care",109.34,-0.5367088,551565,8.563,0
"DVN","Devon Energy","Energy",52.87,-0.2641,12759310,2.014,1.24
"DXC","DXC Technology","Information Technology",36.03,3.2082467,2968998,-2.412,0
"DXCM","DexCom","Health Care",420.35,0.38688296,821293,5.302,0
"EA","Electronic Arts","Communication Services",137.71,0.30593157,2397235,2.225,0.68
"EBAY","eBay","Consumer Discretionary",59.29,3.6719747,10443684,18.281,0.7
"ECL","Ecolab","Materials",187.48,-0.9300411,1540907,3.911,1.92
"ED","Con Edison","Utilities",86.09,-1.0346035,2111915,3.376,3.105
"EFX","Equifax","Industrials",234.07,0.26558593,970470,5.654,1.56
"EIX","Edison International","Utilities",61.16,-0.37465313,1481487,2.007,2.65
"EL","Estée Lauder Companies","Consumer Staples",313.35,3.3749049,2532188,8.849,2.19
"EMN","Eastman","Materials",119.22,-1.5605643,1050338,6.25,2.83
"EMR","Emerson","Industrials",95.38,-1.2527168,4843210,4.578,2.03
"ENPH","Enphase","Information Technology",141.23,6.259869,2536924,1.152,0
"EOG","EOG Resources","Energy",113.7,1.7176582,3656775,5.187,1.613
"EPAM","EPAM","Information Technology",453.68,2.2907658,541179,7.211,0
"EQIX","Equinix","Real Estate",702.15,-1.5092998,400462,4.743,11.27
"EQR","Equity Residential","Real Estate",90.12,-1.6049719,1629030,3.545,2.41
"ES","Eversource","Utilities",87.74,-0.374704,2196984,3.442,2.375
"ESS","Essex","Real Estate",326.98,-0.8490472,291289,7.51,8.36
"ETN","Eaton","Industrials",151,-3.717402,3092837,5.34,3.04
"ETR","Entergy","Utilities",110.9,-0.95561284,1070159,6.179,3.8
"ETSY","Etsy","Consumer Discretionary",133.67,5.2851286,4903730,3.367,0
"EVRG","Evergy","Utilities",65.23,-0.9114362,1518438,3.836,2.14
"EW","Edwards Lifesciences","Health Care",112.18,0.5287248,2235901,2.38,0
"EXC","Exelon","Utilities",43.52,-0.6165801,17454564,1.71,1.53
"EXPD","Expeditors","Industrials",109.74,-1.1974448,1557484,6.758,1.1
"EXPE","Expedia Group","Consumer Discretionary",185.31,0.89839584,2062355,-6.512,0
"EXR","Extra Space Storage","Real Estate",201.46,-1.5058115,567054,5.384,4.15
"F","Ford","Consumer Discretionary",17.96,-9.70337,210131177,0.713,0
"FANG","Diamondback","Energy",132.06,2.0635276,2721873,2.561,1.75
"FAST","Fastenal","Industrials",54.99,-2.4654121,3344849,1.6,1.12
"FB","Meta Platforms","Communication Services",237.09,-0.281796,88994406,13.77,0
"FBHS","Fortune Brands","Industrials",89.41,-1.7364482,1399699,5.537,0
"FCX","Freeport-McMoRan","Materials",38.42,0.57590944,14864634,2.9,0.3
"FDS","FactSet","Financials",420.28,0.25763038,148124,10.53,3.23
"FDX","FedEx","Industrials",244.11,-1.2979163,2072851,18.181,2.9
"FE","FirstEnergy","Utilities",41.36,-2.0137374,4751921,2.012,1.56
"FFIV","F5","Information Technology",203.16,-0.52879053,636897,5.439,0
"FIS","FIS","Information Technology",113.76,-1.4467627,5553041,0.36,1.52
"FISV","Fiserv","Information Technology",104.88,-1.3172766,4075822,1.93,0
"FITB","Fifth Third Bancorp","Financials",47.34,2.5119095,6432916,3.73,1.14
"FLT","Fleetcor","Information Technology",236.19,0.9402098,541779,9.686,0
"FMC","FMC","Materials",110.23,-0.42456514,662732,4.569,1.92
"FOX","Fox Corporation (Class B)","Communication Services",37.25,-0.5340474,808343,2.958,0.47
"FOXA","Fox Corporation (Class A)","Communication Services",40.69,-0.5134545,1811698,2.958,0.47
"FRC","First Republic","Financials",175.91,0.5659762,1098548,7.68,0.88
"FRT","Federal Realty","Real Estate",122.84,-1.4520699,291190,3.016,4.25
